variant,battery,seed,re,mae,rmse,best_metric,re_weight,baseline_re,baseline_mae,baseline_rmse,hard_priority,all_three_improved,val_re,val_mae,val_rmse,val_composite,val_count,best_epoch,best_select_value,lr,feature_size,hidden_dim,num_experts,eol_state_dim,eol_gamma_init,eol_correction_scale,eol_loss_weight,eol_loss_band,epochs,eval_interval
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_37,2,0.05069124423963134,0.035585960042239434,0.042141107535008215,hard,0.05,0.0732,0.0533,0.0716,all,True,0.3667759786841566,0.1050278487133916,0.13818234857951314,0.26154899622711253,3,400,0.0038974406510798526,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_38,2,0.00860832137733142,0.041044743229802526,0.04518725408086562,hard,0.05,0.0732,0.0533,0.0716,all,True,0.37427722203489316,0.094548629942529,0.12589513512081102,0.2391576261650847,3,400,0.0030375542976281765,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_35,3,0.020905923344947737,0.03260598036930998,0.045814257172486286,hard,0.05,0.0732,0.0533,0.0716,all,True,0.17053677949018578,0.08003689692076575,0.10502375852091571,0.19358749441619075,3,150,0.003074416889762846,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_36,3,0.022569444444444444,0.06512943736194891,0.10177109301180386,hard,0.05,0.0732,0.0533,0.0716,all,False,0.20015742987465113,0.07013612494751315,0.08631019418313246,0.16645419062437816,3,100,1.0065466254196054,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_37,3,0.11367127496159754,0.04242619270107903,0.052554639325700044,hard,0.05,0.0732,0.0533,0.0716,all,False,0.09671432936318158,0.05985344258519887,0.08886254037452024,0.1535516994278782,3,100,2.006718642706911,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_38,3,0.015781922525107604,0.040211571282065046,0.05746729948416318,hard,0.05,0.0732,0.0533,0.0716,all,True,0.1521218658807172,0.07586484742521027,0.1117648775549213,0.19523581827416747,3,100,0.0035453088692863908,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_35,4,0.024390243902439025,0.0315942918782085,0.04091494943484124,hard,0.05,0.0732,0.0533,0.0716,all,True,0.1613889534745623,0.07953226410083976,0.1045228065301339,0.19212451830470176,3,200,0.0029948026888593333,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_36,4,0.1284722222222222,0.058788459916883896,0.06936308891973972,hard,0.05,0.0732,0.0533,0.0716,all,False,0.27577078562870205,0.1146100931565458,0.13915054907550584,0.2675491815134868,3,100,3.0085116904038838,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_37,4,0.041474654377880185,0.07653018415731529,0.12266791296405306,hard,0.05,0.0732,0.0533,0.0716,all,False,0.14226135915070637,0.09100319948025691,0.14482501036542014,0.24294127780321237,3,50,1.0085804193573085,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
EOL_AttMoE_hardconstraint_robustseed_v1_fixed,CS2_38,4,0.15781922525107603,0.07632543202196089,0.1331837524783416,hard,0.05,0.0732,0.0533,0.0716,all,False,0.342050639208389,0.09676677540805238,0.16577438869821004,0.2796436960666819,3,50,4.013344316404471,0.0005,64,256,16,16,-4.0,0.02,0.0,0.08,500,50
